 Freq (GHz)                  Error
   29.699999999999999        2.0830873873901035E-004   5.5457326949758809E-003
   30.000000000000000        2.0912934689081323E-004   2.3341743922705087E-003
   30.294117647058822        2.0989802358463831E-004   4.3257739902412317E-003
   30.588235294117645        2.1103288917696247E-004   1.1781126324165498E-002
   30.882352941176471        2.6349576726123234E-004   2.5051895508701589E-002
   31.176470588235293        1.8756791486512255E-003   4.4462465577810639E-002
   31.470588235294116        2.4673758853808934E-002   7.0302472216290754E-002
   31.764705882352938       0.22055561838786783       0.10281906651397402     
   32.058823529411768        1.4155538184601226       0.14220909579621499     
   32.352941176470587        7.0979502721483874       0.18861139010700603     
   32.647058823529413        29.462104697253803       0.24209932146046731     
   32.941176470588232        105.34577942792747       0.30267375529582380     
   33.235294117647058        333.84914121372316       0.37025644319226786     
   33.529411764705884        957.61409579539736       0.44468382253995403     
   33.823529411764703        2526.2139833265569       0.52570110949165183     
   34.117647058823529        6205.5149774589445       0.61295652066087214     
   34.411764705882355        14334.600219434191       0.70599546787130452     
   34.705882352941174        31386.100345902527       0.80425467408412399     
   35.000000000000000        65561.692486203508       0.90705639219354994     
   35.294117647058826        131358.31250832314        1.0136032989920851     
   35.588235294117645        253579.64878806780        1.1229751949844275     
   35.882352941176471        473450.43172751751        1.2341293502493669     
   36.176470588235290        857728.02019900561        1.3459071421068878     
   36.470588235294123        1512008.5055261860        1.4570504288535167     
   36.764705882352942        2599806.4101543124        1.5662317391599185     
   37.058823529411768        4369463.3136637053        1.6721026226600990     
   37.352941176470587        7191528.6601247694        1.7733641622646883     
   37.647058823529413        11609975.011189360        1.8688624462505163     
   37.941176470588232        18411481.842896465        1.9577095350221689     
   38.235294117647058        28718070.843745962        2.0394270405615251     
   38.529411764705877        44109628.389418952        2.1141049650862329     
   38.823529411764710        66784337.070848398        2.1825632997785993     
   39.117647058823529        99766790.421912119        2.2464988088599189     
   39.411764705882355        147175619.04417896        2.3085955822245534     
   39.705882352941174        214564851.17251328        2.3725769164119308     
   40.000000000000000        309356008.85550368        2.4431798054042604     
   40.294117647058826        441381148.47978711        2.5260438652754753     
   40.588235294117645        623560741.32005882        2.6275257774591849     
   40.882352941176471        872744510.13601303        2.7544795617118334     
   41.176470588235290        1210748149.7543809        2.9140821774960899     
   41.470588235294116        1665624325.6500769        3.1138311616193937     
   41.764705882352942        2273212531.9444966        3.3618916868972355     
   42.058823529411768        3079019370.9202409        3.6680168656469481     
   42.352941176470587        4140488667.0451455        4.0452962433782060     
   42.647058823529413        5529729631.7372484        4.5129890812702227     
   42.941176470588232        7336781138.2105303        5.1006550303231482     
   43.235294117647058        9673501141.8846207        5.8536889093746201     
   43.529411764705884        12678182490.022425        6.8401851907862214     
   43.823529411764710        16521009909.563965        8.1587950448941200     
   44.117647058823529        21410487955.959278        9.9468995760249221     
   44.411764705882355        27600986266.174744        12.388028919399083     
   44.705882352941174        35401566710.735611        15.717050779367398     
   45.000000000000000        45186277114.599190        20.221299978801309     
