 Freq (GHz)                  Error
   32.058823529411768        4.3477968288306024E-003   6.3074931179537913E-002
   32.352941176470587        4.4455074285536817E-003   8.2738112030258673E-002
   32.647058823529413        4.5901599842024304E-003  0.10506106948444990     
   32.941176470588232        4.8889086584834752E-003  0.12996936995249575     
   33.235294117647058        5.6304293100667121E-003  0.15737063929788747     
   33.529411764705884        7.5224157100022542E-003  0.18715719805789083     
   33.823529411764703        1.2169873047384120E-002  0.21920960760007610     
   34.117647058823529        2.2982405770171698E-002  0.25340103878969039     
   34.411764705882355        4.6810651483498826E-002  0.28960229997157749     
   34.705882352941174        9.6773507581546736E-002  0.32768729633523819     
   35.000000000000000       0.19696452204642242       0.36753864819381893     
   35.294117647058826       0.39003679527512802       0.40905318115695999     
   35.588235294117645       0.74908373923636307       0.45214702486129377     
   35.882352941176471        1.3957850356095531       0.49676012439185957     
   36.176470588235290        2.5275047678729852       0.54286008167268540     
   36.470588235294123        4.4569487835543491       0.59044540056382933     
   36.764705882352942        7.6691533745858234       0.63954840251246714     
   37.058823529411768        12.902036093163661       0.69023829900978506     
   37.352941176470587        21.258547520619654       0.74262514003532509     
   37.647058823529413        34.360683086029567       0.79686559081038466     
   37.941176470588232        54.558317673666814       0.85317171085858889     
   38.235294117647058        85.209092595775800       0.91182411167015964     
   38.529411764705877        131.04950382129320       0.97319104954951619     
   38.823529411764710        198.68201161157575        1.0377551714664921     
   39.117647058823529        297.20852534708104        1.1061497811160423     
   39.411764705882355        439.04713552293401        1.1792066378314829     
   39.705882352941174        640.97660243555322        1.2580174455294206     
   40.000000000000000        925.46201624635671        1.3440113234375564     
   40.294117647058826        1322.3253785451700        1.4390506461270482     
   40.588235294117645        1870.8367992436945        1.5455476423628127     
   40.882352941176471        2622.3157489150030        1.6666039668780308     
   41.176470588235290        3643.3475672222785        1.8061749983195297     
   41.470588235294116        5019.7384328922999        1.9692597516215071     
   41.764705882352942        6861.3524993098272        2.1621159202800628     
   42.058823529411768        9307.9981624189804        2.3924976330011214     
   42.352941176470587        12536.556746026221        2.6699110720580084     
   42.647058823529413        16769.576578734344        3.0058803674499655     
   42.941176470588232        22285.588835502222        3.4142135725667289     
   43.235294117647058        29431.438989552786        3.9112567132716247     
   43.529411764705884        38636.969658044887        4.5161238081602217     
   43.823529411764710        50432.437446349257        5.2508935207651319     
   44.117647058823529        65469.098548891627        6.1407699651979959     
   44.411764705882355        84543.455827710699        7.2142172997535683     
   44.705882352941174        108625.72437324816        8.5030959051306425     
   45.000000000000000        138893.14369819633        10.042852250169954     
